Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Description,,
10004605,VANDALISM - BY GRAFFITI,11/19/2010 5:55,Inactive,11/18/2010 12:00,11/19/2010 5:00,Westbrook Music Building,1104 R St (GOVT PARKING LOT (UNL)),$0.00,$115.00,"Two signs with the word ""LOCH"" written on them in black marker.",,
10004607,NARCOTICS - POSSESSION,11/19/2010 9:01,Cleared by Arrest,11/19/2010 9:01,,The Courtyards,733 North  17th  St. (UNL RESIDENCE HALL),$0.00,$0.00,A UNL student was lodged at Lancaster County Corrections for Possession of a Controlled Substance.,,
10004608,VANDALISM - BY GRAFFITI,11/19/2010 9:32,Inactive,11/18/2010 11:00,11/19/2010 9:32,Sheldon Memorial Art Gallery,451 North 12th St (UNL RESIDENCE HALL),$0.00,$100.00,"Concrete wall and sign damaged by an unknown person(s) writing ""LOCH"" and ""ART"" on them with green colored paint stick.",,
10004609,VANDALISM - OTHER,11/19/2010 10:53,Inactive,11/18/2010 22:00,11/19/2010 10:53,Sigma Nu,625 North 16th St. (OFF CAMPUS/GREEK HOUSING),$0.00,$250.00,Member of Sigma Nu fraternity had his vehicle damaged by an unknown person(s) throwing a rock through a window.,,
10004610,LITTERING,11/19/2010 12:02,Inactive,11/16/2010 17:00,11/19/2010 12:02,Innovation Campus,1800 State Fair Park Drive (STREET),$0.00,$0.00,Unknown person dumped several pieces of trash on a street in Innovation Campus.,,
10004614,LOST OR STOLEN ITEM,11/19/2010 16:17,Inactive,11/19/2010 13:30,11/19/2010 15:30,College of Business Admin.,512 North 12th St (UNL ACADEMIC BUILDING),$200.00,$0.00,A UNL student reported her 8gb IPod lost from CBA.,,
10004621,ALCOHOL - MINOR IN POSSESSION,11/20/2010 0:01,Cleared by Arrest,11/20/2010 0:01,,Neihardt Residence Center,540 North 16th St (UNL RESIDENCE HALL),$0.00,$0.00,Report of an intoxicated male passed out in the east stairwell of Raymond Hall.  UNL student taken into custody and transported to Detox (.237 BAC).  Cited for MIPC.,,
10004622,ALCOHOL - DRUNK,11/20/2010 2:35,Cleared by Exception,11/20/2010 2:35,,University Health Center,1500 U St (SIDEWALK),$0.00,$0.00,"CSO reported an intoxicated male walking down the sidewalk.  Officers contacted male and noted slurred speech, difficulty maintaining balance, red bloodshot eyes and strong odor of an alcoholic beverage.  Taken into custody and transported to Detox (.230 BAC). UNL Student.",,
10004619,ACCIDENTS - P.D. NOT REPORTABLE,11/20/2010 22:51,Cleared by Exception,11/20/2010 21:30,,,N 16TH ST & S ST (STREET),$0.00,$900.00,Report of a driver attempting to parallel park his vehicle when he struck a parked vehicle.  Victim requested the incident documented.,,
10004633,ALCOHOL - MINOR IN POSSESSION,11/20/2010 23:47,Cleared by Arrest,11/20/2010 23:47,,Schramm Hall,1130 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,CSO reported an intoxicated female in the lobby.  Officers arrived and contacted two females on the 6th floor.  Both had signs of alcohol consumption.  One cited/released for MIPC (.063 BAC), one cited/Detox for MIPC (.180 BAC). Both UNL Students.,
10004634,SS - CHECK WELFARE OF PERSON,11/20/2010 23:58,Inactive,11/20/2010 23:58,,Burr Hall,1701 North 35th St (UNL RESIDENCE HALL),$0.00,$0.00,Report of concerning text messages.  UNL student contacted and found not to be a harm to self or others.,,
10004635,ALCOHOL - MINOR IN POSSESSION,11/21/2010 0:22,Cleared by Arrest,11/21/2010 0:22,,Neihardt Residence Center,540 North 16th St (UNL RESIDENCE HALL),$0.00,$0.00,CSO observed two UNL students with alcohol in a dorm room.  One UNL student cited/released and one cited/Detox (.182 BAC)  for MIP.,,
10004636,ALCOHOL - MINOR IN POSSESSION,11/21/2010 1:01,Cleared by Arrest,11/21/2010 1:01,,Sigma Nu,625 North 16th St. (SIDEWALK),$0.00,$0.00,"Intoxicated male contacted on the sidewalk.  Officer noted slurred speech, unable to maintain balance, red bloodshot eyes and strong odor of an alcoholic beverage.  UNL student cited/Detox (.321 BAC) for MIPC.",,
10004637,ALCOHOL - MINOR IN POSSESSION,11/21/2010 4:18,Cleared by Arrest,11/21/2010 4:18,,Schramm Hall,1130 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,Report of a male urinating on the 3rd floor stairwell.  Contact was made with an intoxicated male inside the women's restroom on the 4th floor.  UNL student cited/released for MIPC (.106 BAC) and 2nd Degree Trespass.,,
10004640,LARCENY - FROM MOTOR VEHICLE,11/21/2010 12:28,Inactive,11/20/2010 23:30,11/21/2010 12:30,,3323 Starr Street #2 (GOVT PARKING LOT (UNL)),$150.00,$0.00,UNL student had his MP3 played removed from the center console of his vehicle.,,
10004641,LARCENY - FROM BUILDING,11/21/2010 13:12,Inactive,11/21/2010 3:00,11/21/2010 3:15,Smith Hall,1120 North 14th St (UNL RESIDENCE HALL),$25.00,$0.00,Unknown person(s) removed the door handle from room 720.,,
10004642,ACCIDENTS - P.D. H&R NOT REPORTABLE,11/21/2010 13:54,Inactive,,,HSS North Lot,1220 N 14th St (GOVT PARKING LOT (UNL)),$0.00,$600.00,UNL student's vehicle was damaged possibly while parked in a UNL parking lot.,,
10004650,MEDICAL EMERGENCY,11/22/2010 9:14,Cleared by Exception,11/22/2010 9:14,,Nelle Cochrane Woods Art Bldg.,1140 R St (UNL ACADEMIC BUILDING),$0.00,$0.00,"UNL student felt lightheaded, then passed out. Refused transport to the hospital.",,
10004654,LOST OR STOLEN ITEM,11/22/2010 11:38,Inactive,,,, (UNKNOWN),$0.00,$0.00,UNL student reports their passport was lost or stolen.,,
10004657,LARCENY - STOLEN BIKE,11/22/2010 14:04,Inactive,11/19/2010 9:30,11/20/2010 10:00,Smith Hall,1120 North 14th St (UNL RESIDENCE HALL),$520.00,$0.00,"Bike taken from the bike rack south of Smith Hall, $520 loss.",,
